"file","table","id_field","id_column_guess"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\LigneImageEmployee.java","Ligneimageemployee","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\LigneImagerendement.java","Ligneimagerendement","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Ligneindex.java","Ligneindex","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Lignepaiegestion.java","lignepaiegestion","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Lignepaiegestionprime.java","Lignepaiegestionprime","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Lignepaiegestionrappel.java","Lignepaiegestionrappel","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Lignetransert.java","Lignetransert","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Lignevente.java","Lignevente","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\Marque.java","Marque","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\Model.java","Model","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Note.java","Note","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\NotifSmsing.java","notif_smsing","idNotifmsing","id_notif_smsing"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Paie.java","Paie","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Paieconge.java","Paieconge","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Paieprime.java","Paieprime","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Paramettre.java","Paramettre","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Pointage.java","Pointage","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Pointageconge.java","Pointageconge","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Pompe.java","Pompe","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Pompiste.java","Pompiste","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Pret.java","Pret","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Produit.java","Produit","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Rappel.java","Rappel","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Rendement.java","Rendement","id","id"
